Year	Title	Topic	Image	Source	Link	Authors
2025	Reverse Probing: Evaluating Knowledge Transfer via Finetuned Task Embeddings for Coreference Resolution	We examine knowledge transfer by using embeddings from simple tasks to improve coreference resolution, showing that semantic similarity tasks are most effective, intermediate-layer representations often outperform final-layer ones, and combining multiple embeddings enhances performance.	images/publications/reverseprobing.pdf	Rep4NLP 2025	https://arxiv.org/abs/2501.19316	"Tatiana Anikina, Arne Binder, David Harbecke, Stalin Varanasi, Leonhard Hennig, Simon Ostermann, Sebastian Möller, Josef van Genabith"
2025	Soft Language Prompts for Language Transfer	We propose soft language prompts for improved cross-lingual transfer, outperforming traditional methods, especially in low-resource settings.	images/publications/softprompts.png	NAACL 2025	https://arxiv.org/abs/2407.02317	"Ivan Vykopal, Simon Ostermann, Marián Šimko"
2025	GrEmLIn: A Repository of Green Baseline Embeddings for 87 Low-Resource Languages Injected with Multilingual Graph Knowledge	A repository of static word embeddings for 87 low-resource languages, enhanced by integrating multilingual graph knowledge to improve performance in natural language processing tasks, performing at par with LLMs in some settings.	images/publications/gremlin.jpg	Findings of NAACL 2025	https://arxiv.org/abs/2409.18193	"Daniil Gurgurov, Rishu Kumar, Simon Ostermann"
2025	Cross-Refine: Improving Natural Language Explanation Generation by Learning in Tandem	A study on enhancing explainable AI through joint learning frameworks that refine natural language explanations for decision-making systems.	images/publications/cross-refine.jpg	COLING 2025	https://arxiv.org/abs/2409.07123	"Qianli Wang, Tatiana Anikina, Nils Feldhus, Simon Ostermann, Sebastian Möller, Vera Schmitt"
2024	CoXQL: A Dataset for Parsing Explanation Requests in Conversational XAI Systems	A novel dataset and framework designed to understand and parse user requests for explanations in conversational AI systems.	images/publications/coxql.jpg	Findings of EMNLP 2024	https://aclanthology.org/2024.findings-emnlp.76/	"Qianli Wang, Tatiana Anikina, Nils Feldhus, Simon Ostermann, Sebastian Möller"
2024	MMAR: Multilingual and Multimodal Anaphora Resolution in Instructional Videos	"A multimodal approach to resolving anaphora in instructional videos, integrating multilingual NLP with video data."	images/publications/mmar.jpg	Findings of EMNLP 2024	https://aclanthology.org/2024.findings-emnlp.88/	"Cennet Oguz, Pascal Denis, Simon Ostermann, Emmanuel Vincent, Natalia Skachkova, Josef Van Genabith"
2024	A Comparison of Different Tokenization Methods for the Georgian Language	"An empirical analysis of tokenization methods for Georgian, showcasing linguistic challenges in low-resource languages."	images/publications/nerd.jpg	ICNLSP 2024	https://aclanthology.org/2024.icnlsp-1.22/	"Beso Mikaberidze, Temo Saghinadze, Guram Mikaberidze, Raphael Kalandadze, Konstantine Pkhakadze, Josef van Genabith, Simon Ostermann, Lonneke van der Plas, Philipp Müller"
2024	UoM-DFKI submission to the low resource shared task	"A collaborative system submission addressing challenges in low-resource language NLP, focusing on morphology and syntax."	images/publications/nerd.jpg	IWSLT 2024	https://aclanthology.org/2024.iwslt-1.33/	"Rishu Kumar, Aiden Williams, Claudia Borg, Simon Ostermann"
2024	DFKI-MLST at DialAM-2024 Shared Task: System Description	A comprehensive description of the DFKI-MLST dialogue system submitted to the DialAM-2024 shared task on conversational AI.	images/publications/dfki-mlst.jpg	DialAM 2024	https://aclanthology.org/2024.argmining-1.9/	"Arne Binder, Tatiana Anikina, Leonhard Hennig, Simon Ostermann"
2024	HybridBERT - Making BERT Pretraining More Efficient Through Hybrid Mixture of Attention Mechanisms	A method for optimizing BERT pretraining using a hybrid attention mechanism to balance efficiency and performance.	images/publications/hybridbert.jpg	NAACL SRW - 🏆 Runner Up Best Paper Award	https://aclanthology.org/2024.naacl-srw.30/	"Gokul Srinivasagan, Simon Ostermann"
2024	Adapting Multilingual LLMs to Low-Resource Languages with Knowledge Graphs via Adapters	Exploring the use of adapters to improve multilingual large language models (LLMs) for low-resource languages through knowledge graphs.	Images/publications/nerd.jpg	KaLLM Workshop	https://aclanthology.org/2024.kallm-1.7/	"Daniil Gurgurov, Mareike Hartmann, Simon Ostermann"
2024	Common European Language Data Space	"An initiative to build a comprehensive, multilingual language data space to foster research and development across European languages."	images/publications/lds.jpg	LREC-COLING 2024	https://aclanthology.org/2024.lrec-main.317/	"Georg Rehm, Stelios Piperidis, Khalid Choukri, Andrejs Vasiļjevs, Katrin Marheinecke, Victoria Arranz, Aivars Bērziņš, Miltos Deligiannis, Dimitrios Galanis, Maria Giagkou, Katerina Gkirtzou, Dimitris Gkoumas, Annika Grützner-Zahn, Athanasia Kolovou, Penny Labropoulou, Andis Lagzdiņš, Elena Leitner, Valérie Mapelli, Hélène Mazo, Simon Ostermann, Stefania Racioppa, Mickaël Rigault, Leon Voukoutis"
2023	Find-2-Find: Multitask Learning for Anaphora Resolution and Object Localization	A multitask learning approach that integrates object localization and anaphora resolution to enhance situational awareness in visual and textual data.	images/publications/f2f.jpg	EMNLP 2023	https://aclanthology.org/2023.emnlp-main.504/	"Cennet Oguz, Pascal Denis, Emmanuel Vincent, Simon Ostermann, Josef van Genabith"
2023	Investigating the Encoding of Words in BERT's Neurons using Feature Textualization	A study on how words are encoded within BERT's neurons using feature extraction techniques to interpret model behavior.	images/publications/bert_neurons.jpg	BlackBoxNLP 2023	https://aclanthology.org/2023.blackboxnlp-1.20/	"Tanja Baeumel, Soniya Vijayakumar, Josef van Genabith, Guenter Neumann, Simon Ostermann"
2023	Where exactly does contextualization in a PLM happen?	An analysis of contextualization mechanisms in pretrained language models to understand information flow and representation.	images/publications/nerd.jpg	BlackBoxNLP 2023 - Extended Abstract	https://arxiv.org/abs/2312.06514	"Soniya Vijayakumar, Tanja Baeumel, Simon Ostermann, Josef van Genabith"
2022	Automatic speech recognition in noise polluted cockpit environments for monitoring the approach briefing in commercial aviation	"Developing robust ASR systems for high-noise environments, with a focus on aviation-specific use cases."	images/publications/nerd.jpg	International Workshop on ATM	https://www.lsv.uni-saarland.de/wp-content/uploads/2023/08/VicKI.pdf	"Sven Bollmann, Jonas Fullgraf, Christian Roxlau, Thomas Feuerle, Peter Hecker, Aravind Krishnan, Simon Ostermann, Dietrich Klakow, Großmann Nicolas, Muller-Diveky Stefan"
2020	Script Knowledge for Natural Language Understanding	PhD Thesis	images/publications/script_knowledge.jpg	PhD Thesis	https://publikationen.sulb.uni-saarland.de/handle/20.500.11880/29334	Simon Ostermann
2019	Commonsense Inference in Natural Language Processing (COIN)-Shared Task Report	An evaluation report on commonsense inference systems developed for the COIN shared task.	images/publications/nerd.jpg	COIN Workshop 2019	https://aclanthology.org/D19-6007/	"Simon Ostermann, Sheng Zhang, Michael Roth, Peter Clark"
2019	Proceedings of the First Workshop on Commonsense Inference in Natural Language Processing	"An editorial introduction to the first COIN workshop, summarizing key research contributions in commonsense reasoning."	images/publications/nerd.jpg	COIN Workshop 2019	https://aclanthology.org/D19-6000/	"Simon Ostermann, Sheng Zhang, Michael Roth, Peter Clark"
2019	MCScript2.0: A Machine Comprehension Corpus Focused on Script Events and Participants	"A large-scale corpus for script-based machine comprehension tasks, featuring enriched annotations for event modeling."	images/publications/mcscript2.jpg	*SEM 2019	https://aclanthology.org/S19-1012/	"Simon Ostermann, Michael Roth, Manfred Pinkal"
2018	SemEval-2018 Task 11: Machine Comprehension Using Commonsense Knowledge	A shared task report summarizing approaches and results in machine comprehension with a focus on commonsense knowledge integration.	images/publications/nerd.jpg	SemEval 2018	https://aclanthology.org/S18-1119/	"Simon Ostermann, Michael Roth, Ashutosh Modi, Stefan Thater, Manfred Pinkal"
2018	MCScript: A Novel Dataset for Assessing Machine Comprehension Using Script Knowledge	A pioneering dataset designed to assess machine comprehension capabilities grounded in script knowledge.	images/publications/mcscript.jpg	LREC 2018	https://aclanthology.org/L18-1564/	"Simon Ostermann, Ashutosh Modi, Michael Roth, Stefan Thater, Manfred Pinkal"
2018	Mapping Texts to Scripts: An Entailment Study	An entailment-focused study mapping textual descriptions to predefined script structures for enhanced understanding.	images/publications/mapping_texts.jpg	LREC 2018	https://aclanthology.org/L18-1512/	"Simon Ostermann, Hannah Seitz, Stefan Thater, Manfred Pinkal"
2017	Aligning Script Events with Narrative Texts	"A method for aligning script events to narrative texts, bridging structured event knowledge with natural language descriptions."	images/publications/aligning_scripts.jpg	*SEM 2017	https://aclanthology.org/S17-1016/	"Simon Ostermann, Michael Roth, Stefan Thater, Manfred Pinkal"
2016	InScript: Narrative texts annotated with script information	A corpus of narrative texts annotated with detailed script information to facilitate structured event understanding in NLP.	images/publications/nerd.jpg	LREC 2016	https://aclanthology.org/L16-1555/	"Ashutosh Modi, Tatjana Anikina, Simon Ostermann, Manfred Pinkal"
2015	Annotating Entailment Relations for Short Answer Questions	An annotation project defining entailment relations for improving short-answer question evaluation in educational settings.	images/publications/nerd.jpg	NLP-TEA 2015	https://aclanthology.org/W15-4408/	"Simon Ostermann, Andrea Horbach, Manfred Pinkal"
2014	Paraphrase Detection for Short Answer Scoring	A study on detecting paraphrases to improve the scoring of short-answer responses in education technology.	images/publications/nerd.jpg	NLP4CALL 2014	https://aclanthology.org/W14-3505/	"Nikolina Koleva, Andrea Horbach, Alexis Palmer, Simon Ostermann, Manfred Pinkal"
2014	CSGS: Adapting a short answer scoring system for multiple-choice reading comprehension exercises	A system for adapting short answer scoring algorithms to multiple-choice reading comprehension tasks.	images/publications/nerd.jpg	Working notes for QA Track - CLEF Question Answering Track: Entrance Exams	https://ceur-ws.org/Vol-1180/CLEF2014wn-QA-OstermannEt2014.pdf	"Simon Ostermann, Nikolina Koleva, Alexis Palmer, Andrea Horbach"
